year,tv_views(millions),avg_cost of 30sec ad (millions $),add revenue (millions $)
1990,73.85,,
1991,79.51,,
1992,79.59,,
1993,90.99,,
1994,90,,
1995,83.42,,
1996,94.08,,
1997,87.87,,
1998,90,,
1999,83.72,,
2000,88.47,,
2001,84.34,,
2002,86.80,2.1,125
2003,88.64,2.20,130.10
2004,89.79,2.20,149.60
2005,86.07,2.40,158.40
2006,90.75,2.50,162.50
2007,93.18,2.38,151.50
2008,97.45,2.70,186
2009,98.73,3,213
2010,106.48,2.95,191
2011,111.01,3.10,212
2012,111.35,3.50,244
2013,108.69,3.80,272
2014,112.19,4,309
2015,114.44,4.25,322
2016,111.86,4.50,376
2017,111.32,5,430
2018,103.39,5.20,341
2019,98.19,5.30,339
2020,100.45,5.60,449
2021,91.63,5.50,545
2022,99.18,6.50,578.40
2023,115.10,7,600
2024,123.40,7,600